"Time","Primitivo : Soil Moisture : 12"" : [Soil Moisture] (centiBar)","Primitivo : Soil Moisture : 24"" : [Soil Moisture] (centiBar)","Primitivo : Soil Moisture : 36"" : [Soil Moisture] (centiBar)"
"11/16/2013 00:00","410.79","114.45","124.70"
"11/17/2013 00:00","382.47","118.99","125.34"
"11/18/2013 00:00","433.67","118.80","126.57"
"11/19/2013 00:00","442.87","120.83","127.49"
"11/20/2013 00:00","438.30","118.98","128.82"
"11/21/2013 00:00","443.08","120.11","129.50"
"11/22/2013 00:00","362.36","121.82","129.72"
"11/23/2013 00:00","403.93","132.48","131.07"
"11/24/2013 00:00","448.55","132.80","131.47"
"11/25/2013 00:00","466.42","125.81","131.40"
"11/26/2013 00:00","463.20","122.32","132.24"
"11/27/2013 00:00","460.33","119.09","132.68"
"11/28/2013 00:00","444.47","112.94","133.92"
"11/29/2013 00:00","445.97","114.52","134.67"
"11/30/2013 00:00","437.27","118.09","134.30"
"12/01/2013 00:00","448.96","116.36","135.33"
"12/02/2013 00:00","452.18","115.42","136.01"
"12/03/2013 00:00","457.57","116.41","136.21"
"12/04/2013 00:00","451.37","116.60","136.11"
"12/05/2013 00:00","440.45","117.86","136.80"
"12/06/2013 00:00","475.94","123.00","137.42"
"12/07/2013 00:00","487.68","126.40","137.79"
"12/08/2013 00:00","458.17","129.81","138.39"
"12/09/2013 00:00","463.40","123.61","140.76"
"12/10/2013 00:00","483.33","123.30","140.53"
"12/11/2013 00:00","473.35","119.92","141.26"
"12/12/2013 00:00","457.20","116.29","142.27"
"12/13/2013 00:00","450.79","115.22","143.42"
"12/14/2013 00:00","451.10","116.44","143.16"
"12/15/2013 00:00","447.47","115.18","143.87"
"12/16/2013 00:00","436.12","111.36","145.28"
"12/17/2013 00:00","417.38","105.93","146.37"
"12/18/2013 00:00","409.58","104.77","146.96"
"12/19/2013 00:00","412.51","107.77","146.34"
"12/20/2013 00:00","366.16","114.63","143.50"
"12/21/2013 00:00","373.18","121.66","143.43"
"12/22/2013 00:00","420.52","122.63","145.43"
"12/23/2013 00:00","435.65","121.84","145.20"
"12/24/2013 00:00","447.96","117.95","144.54"
"12/25/2013 00:00","442.70","113.69","145.19"
"12/26/2013 00:00","442.36","114.08","145.47"
"12/27/2013 00:00","434.57","111.93","145.74"
"12/28/2013 00:00","435.08","113.14","145.76"
"12/29/2013 00:00","435.32","114.49","145.78"
"12/30/2013 00:00","444.13","118.72","145.36"
"12/31/2013 00:00","452.53","121.29","145.45"
"01/01/2014 00:00","454.08","121.57","146.03"
"01/02/2014 00:00","450.99","120.28","146.55"
"01/03/2014 00:00","301.95","100.38","154.54"
"01/04/2014 00:00","203.83","93.71","155.81"
"01/05/2014 00:00","232.47","99.83","150.49"
"01/06/2014 00:00","258.21","104.21","149.55"
"01/07/2014 00:00","286.14","107.64","150.79"
"01/08/2014 00:00","309.03","111.24","150.70"
"01/09/2014 00:00","324.48","112.47","149.43"
"01/10/2014 00:00","331.46","114.22","148.38"
"01/11/2014 00:00","340.23","115.35","147.81"
"01/12/2014 00:00","207.96","88.02","128.60"
"01/13/2014 00:00","193.62","88.46","100.66"
"01/14/2014 00:00","213.85","92.71","99.58"
"01/15/2014 00:00","233.31","96.55","100.58"
"01/16/2014 00:00","259.87","98.18","101.25"
"01/17/2014 00:00","294.78","99.16","102.17"
"01/18/2014 00:00","307.40","100.28","103.53"
"01/19/2014 00:00","320.36","102.93","105.18"
"01/20/2014 00:00","329.83","104.99","106.69"
"01/21/2014 00:00","335.98","106.06","108.10"
"01/22/2014 00:00","340.23","107.10","109.63"
"01/23/2014 00:00","341.58","106.74","111.03"
"01/24/2014 00:00","350.83","109.71","111.65"
"01/25/2014 00:00","344.01","106.75","112.40"
"01/26/2014 00:00","340.06","105.31","113.51"
"01/27/2014 00:00","347.89","109.31","113.85"
"01/28/2014 00:00","333.22","110.21","113.67"
"01/29/2014 00:00","347.73","112.75","113.48"
"01/30/2014 00:00","361.50","112.59","113.86"
"01/31/2014 00:00","349.84","115.61","114.30"
"02/01/2014 00:00","270.38","130.39","118.26"
"02/02/2014 00:00","351.56","129.38","111.45"
"02/03/2014 00:00","406.03","132.17","108.20"
"02/04/2014 00:00","404.34","128.33","108.78"
"02/05/2014 00:00","415.84","131.13","109.75"
"02/06/2014 00:00","413.45","128.20","109.87"
"02/07/2014 00:00","386.14","132.85","110.96"
"02/08/2014 00:00","372.01","143.05","118.28"
"02/09/2014 00:00","433.80","147.08","113.16"
"02/10/2014 00:00","504.71","150.67","112.02"
"02/11/2014 00:00","496.70","146.07","109.76"
"02/12/2014 00:00","487.13","148.68","109.91"
"02/13/2014 00:00","435.35","139.93","113.48"
"02/14/2014 00:00","408.94","136.03","115.01"
"02/15/2014 00:00","413.17","141.30","113.79"
"02/16/2014 00:00","425.75","150.07","112.52"
"02/17/2014 00:00","441.40","160.89","111.20"
"02/18/2014 00:00","277.48","122.96","110.54"
"02/19/2014 00:00","180.79","92.91","106.61"
"02/20/2014 00:00","210.92","98.68","101.64"
"02/21/2014 00:00","255.32","104.50","99.88"
"02/22/2014 00:00","310.27","109.23","100.59"
"02/23/2014 00:00","232.17","100.90","101.93"
"02/24/2014 00:00","187.84","89.90","103.17"
"02/25/2014 00:00","233.00","96.14","101.36"
"02/26/2014 00:00","276.66","100.58","100.03"
"02/27/2014 00:00","305.44","104.83","98.87"
"02/28/2014 00:00","269.66","108.58","98.46"
"03/01/2014 00:00","192.00","107.77","124.92"
"03/02/2014 00:00","208.00","107.57","124.41"
"03/03/2014 00:00","280.35","116.24","101.09"
"03/04/2014 00:00","298.45","120.73","83.68"
"03/05/2014 00:00","293.08","123.58","74.54"
"03/06/2014 00:00","306.19","119.65","78.48"
"03/07/2014 00:00","321.07","112.81","82.09"
"03/08/2014 00:00","335.53","114.11","83.21"
"03/09/2014 00:00","369.94","123.04","82.96"
"03/10/2014 01:00","391.94","129.58","83.74"
"03/11/2014 00:00","410.36","138.25","84.42"
"03/12/2014 00:00","426.62","145.98","84.97"
"03/13/2014 00:00","440.22","152.49","84.89"
"03/14/2014 00:00","447.66","158.84","84.88"
"03/15/2014 00:00","452.89","164.37","84.85"
"03/16/2014 00:00","483.10","170.15","85.08"
"03/17/2014 00:00","509.00","176.42","85.30"
"03/18/2014 00:00","387.29","151.04","86.83"
"03/19/2014 00:00","195.20","96.40","88.58"
"03/20/2014 00:00","272.19","104.35","88.65"
"03/21/2014 00:00","215.98","97.12","90.75"
"03/22/2014 00:00","190.19","92.76","89.59"
"03/23/2014 00:00","224.02","96.53","88.23"
"03/24/2014 00:00","268.85","100.29","87.76"
"03/25/2014 00:00","216.06","93.16","89.53"
"03/26/2014 00:00","183.12","87.51","90.27"
"03/27/2014 00:00","215.65","93.56","89.11"
"03/28/2014 00:00","249.85","99.43","88.39"
"03/29/2014 00:00","270.24","105.24","88.33"
"03/30/2014 00:00","290.10","110.53","88.68"
"03/31/2014 00:00","333.45","118.53","89.31"
"04/01/2014 00:00","394.55","134.00","89.98"
"04/02/2014 00:00","383.61","149.26","91.35"
"04/03/2014 00:00","370.22","165.18","93.45"
"04/04/2014 00:00","418.87","172.36","95.51"
"04/05/2014 00:00","472.63","180.26","98.15"
"04/06/2014 00:00","513.79","185.75","100.92"
"04/07/2014 00:00","540.69","186.26","103.80"
"04/08/2014 00:00","561.78","182.83","107.83"
"04/09/2014 00:00","283.48","118.78","119.80"
"04/10/2014 00:00","227.75","93.21","127.86"
"04/11/2014 00:00","291.45","98.21","133.19"
"04/12/2014 00:00","275.85","101.28","140.03"
"04/13/2014 00:00","339.34","104.51","144.16"
"04/14/2014 00:00","372.07","108.41","147.22"
"04/15/2014 00:00","407.66","113.10","151.32"
"04/16/2014 00:00","442.48","118.97","153.27"
"04/17/2014 00:00","485.27","136.01","153.22"
"04/18/2014 00:00","524.63","157.30","151.45"
"04/19/2014 00:00","552.10","175.37","148.89"
"04/20/2014 00:00","580.36","189.01","145.89"
"04/21/2014 00:00","611.22","197.02","143.43"
"04/22/2014 00:00","636.97","201.90","141.51"
"04/23/2014 00:00","669.45","217.40","139.72"
"04/24/2014 00:00","421.22","165.82","141.08"
"04/25/2014 00:00","137.80","88.66","144.90"
"04/26/2014 00:00","184.65","93.82","141.99"
"04/27/2014 00:00","176.25","101.29","137.40"
"04/28/2014 00:00","220.69","106.57","133.38"
"04/29/2014 00:00","268.03","111.77","131.73"
"04/30/2014 00:00","216.78","104.30","132.04"
"05/01/2014 00:00","155.51","88.22","129.64"
"05/02/2014 00:00","227.81","97.08","127.95"
"05/03/2014 00:00","163.58","86.97","128.74"
"05/04/2014 00:00","171.63","86.29","126.33"
"05/05/2014 00:00","242.87","96.40","125.27"
"05/06/2014 00:00","293.35","104.43","124.83"
"05/07/2014 00:00","314.07","112.32","124.25"
"05/08/2014 00:00","327.23","116.37","123.11"
"05/09/2014 00:00","334.69","113.99","122.54"
"05/10/2014 00:00","344.93","112.32","122.25"
"05/11/2014 00:00","349.05","111.32","121.70"
"05/12/2014 00:00","353.52","110.47","121.37"
"05/13/2014 00:00","357.09","109.01","122.47"
"05/14/2014 00:00","352.68","106.41","124.58"
"05/15/2014 00:00","170.60","76.17","123.77"
"05/16/2014 00:00","131.83","68.30","124.80"
"05/17/2014 00:00","158.79","69.08","128.00"
"05/18/2014 00:00","182.28","70.73","128.02"
"05/19/2014 00:00","197.53","73.50","127.84"
"05/20/2014 00:00","210.80","75.15","125.95"
"05/21/2014 00:00","226.35","79.12","123.09"
"05/22/2014 00:00","244.67","83.88","120.41"
"05/23/2014 00:00","257.45","87.32","120.17"
"05/24/2014 00:00","270.98","91.12","121.55"
"05/25/2014 00:00","286.04","96.22","120.36"
"05/26/2014 00:00","296.93","97.86","119.50"
"05/27/2014 00:00","313.41","101.25","119.07"
"05/28/2014 00:00","158.97","74.49","92.40"
"05/29/2014 00:00","123.91","68.53","77.12"
"05/30/2014 00:00","152.13","71.25","88.77"
"05/31/2014 00:00","182.87","76.93","94.41"
"06/01/2014 00:00","215.03","83.63","99.18"
"06/02/2014 00:00","247.87","90.71","103.80"
"06/03/2014 00:00","279.09","95.70","106.98"
"06/04/2014 00:00","301.68","98.68","108.93"
"06/05/2014 00:00","320.28","101.44","110.36"
"06/06/2014 00:00","341.59","104.50","110.66"
"06/07/2014 00:00","212.73","86.89","111.51"
"06/08/2014 00:00","123.72","69.20","107.84"
"06/09/2014 00:00","155.12","71.66","103.90"
"06/10/2014 00:00","191.64","77.15","102.32"
"06/11/2014 00:00","227.10","83.14","100.21"
"06/12/2014 00:00","138.41","69.07","103.63"
"06/13/2014 00:00","126.43","66.52","117.58"
"06/14/2014 00:00","163.23","71.14","119.92"
"06/15/2014 00:00","203.87","77.59","120.63"
"06/16/2014 00:00","241.21","84.93","120.68"
"06/17/2014 00:00","275.70","89.84","121.21"
"06/18/2014 00:00","193.49","80.08","124.22"
"06/19/2014 00:00","101.72","63.06","121.75"
"06/20/2014 00:00","136.33","66.58","115.07"
"06/21/2014 00:00","172.50","72.62","112.63"
"06/22/2014 00:00","219.22","81.12","111.61"
"06/23/2014 00:00","188.51","78.89","112.70"
"06/24/2014 00:00","119.34","65.90","111.60"
"06/25/2014 00:00","155.61","70.07","106.77"
"06/26/2014 00:00","194.04","76.96","104.86"
"06/27/2014 00:00","145.99","68.27","107.38"
"06/28/2014 00:00","120.38","63.33","104.94"
"06/29/2014 00:00","156.32","67.88","101.32"
"06/30/2014 00:00","191.35","74.62","99.96"
"07/01/2014 00:00","231.60","81.67","98.84"
"07/02/2014 00:00","271.14","88.26","98.91"
"07/03/2014 00:00","149.02","67.64","105.99"
"07/04/2014 00:00","129.85","62.51","105.94"
"07/05/2014 00:00","183.87","71.13","101.91"
"07/06/2014 00:00","244.58","85.42","100.53"
"07/07/2014 00:00","307.76","99.14","99.91"
"07/08/2014 00:00","173.58","74.63","106.64"
"07/09/2014 00:00","145.50","67.86","109.14"
"07/10/2014 00:00","207.09","83.10","111.88"
"07/11/2014 00:00","275.12","100.85","118.76"
"07/12/2014 00:00","191.19","84.02","133.56"
"07/13/2014 00:00","133.16","66.24","144.81"
"07/14/2014 00:00","186.08","78.39","147.06"
"07/15/2014 00:00","243.87","93.62","149.50"
"07/16/2014 00:00","291.77","108.02","153.63"
"07/17/2014 00:00","161.56","75.91","170.02"
"07/18/2014 00:00","134.70","65.80","172.35"
"07/19/2014 00:00","182.65","76.76","167.28"
"07/20/2014 00:00","235.44","89.64","164.19"
"07/21/2014 00:00","287.85","105.64","163.39"
"07/22/2014 00:00","157.69","75.66","176.44"
"07/23/2014 00:00","151.42","70.83","176.43"
"07/24/2014 00:00","230.68","90.08","174.70"
"07/25/2014 00:00","321.27","117.89","177.14"
"07/26/2014 00:00","196.25","85.71","193.75"
"07/27/2014 00:00","130.57","64.55","200.58"
"07/28/2014 00:00","191.10","79.79","197.47"
"07/29/2014 00:00","253.73","96.96","197.26"
"07/30/2014 00:00","166.82","77.21","209.37"
"07/31/2014 00:00","131.24","63.90","211.59"
"08/01/2014 00:00","199.83","79.81","203.45"
"08/02/2014 00:00","280.98","104.13","199.69"
"08/03/2014 00:00","273.12","129.56","205.70"
"08/04/2014 00:00","163.09","107.12","201.92"
"08/05/2014 00:00","181.60","64.51","192.00"
"08/06/2014 00:00","250.51","85.27","190.30"
"08/07/2014 00:00","331.39","112.12","192.62"
"08/08/2014 00:00","393.70","133.48","196.46"
"08/09/2014 00:00","441.58","146.52","200.69"
"08/10/2014 00:00","215.05","91.74","216.55"
"08/11/2014 00:00","159.12","76.59","222.70"
"08/12/2014 00:00","236.89","99.33","222.70"
"08/13/2014 00:00","302.28","124.23","228.04"
"08/14/2014 00:00","359.87","139.51","241.64"
"08/15/2014 00:00","419.34","150.08","248.22"
"08/16/2014 00:00","218.55","93.30","257.15"
"08/17/2014 00:00","137.35","67.41","251.29"
"08/18/2014 00:00","215.40","85.66","247.03"
"08/19/2014 00:00","154.44","73.93","252.49"
"08/20/2014 00:00","147.68","69.36","249.90"
"08/21/2014 00:00","161.18","81.16","245.51"
"08/22/2014 00:00","185.27","95.35","240.03"
"08/23/2014 00:00","276.86","117.64","240.49"
"08/24/2014 00:00","366.45","141.87","242.28"
"08/25/2014 00:00","444.12","159.63","244.31"
"08/26/2014 00:00","238.43","100.44","260.83"
"08/27/2014 00:00","131.13","65.95","270.27"
"08/28/2014 00:00","202.82","81.93","265.67"
"08/29/2014 00:00","281.01","104.33","262.08"
"08/30/2014 00:00","358.64","128.86","260.76"
"08/31/2014 00:00","434.14","148.45","260.37"
"09/01/2014 00:00","491.44","162.51","260.72"
"09/02/2014 00:00","229.56","96.94","274.56"
"09/03/2014 00:00","123.88","64.63","278.31"
"09/04/2014 00:00","171.75","76.21","276.11"
"09/05/2014 00:00","236.92","90.19","270.23"
"09/06/2014 00:00","296.99","110.12","267.24"
"09/07/2014 00:00","362.97","128.50","267.19"
"09/08/2014 00:00","427.40","145.40","268.20"
"09/09/2014 00:00","478.95","160.15","267.85"
"09/10/2014 00:00","526.96","174.80","268.67"
"09/11/2014 00:00","223.44","104.43","283.04"
"09/12/2014 00:00","134.67","73.78","285.55"
"09/13/2014 00:00","201.73","89.60","280.09"
"09/14/2014 00:00","278.91","111.25","279.57"
"09/15/2014 00:00","356.69","134.76","278.59"
"09/16/2014 00:00","421.72","151.83","280.00"
"09/17/2014 00:00","475.50","166.08","281.79"
"09/18/2014 00:00","235.05","107.19","292.64"
"09/19/2014 00:00","113.87","69.52","290.45"
"09/20/2014 00:00","150.73","77.95","284.53"
"09/21/2014 00:00","199.44","88.92","280.18"
"09/22/2014 00:00","243.29","100.30","276.10"
"09/23/2014 00:00","299.35","118.36","272.97"
"09/24/2014 00:00","365.24","138.96","271.20"
"09/25/2014 00:00","428.05","155.71","273.09"
"09/26/2014 00:00","478.72","166.40","275.55"
"09/27/2014 00:00","520.83","181.00","277.78"
"09/28/2014 00:00","550.92","197.15","276.11"
"09/29/2014 00:00","577.08","208.77","273.89"
"09/30/2014 00:00","598.35","212.50","274.10"
"10/01/2014 00:00","627.41","213.92","280.62"
"10/02/2014 00:00","646.45","217.67","287.27"
"10/03/2014 00:00","664.55","219.93","291.96"
"10/04/2014 00:00","678.53","222.16","297.42"
"10/05/2014 00:00","689.44","225.79","302.33"
"10/06/2014 00:00","696.86","230.84","306.26"
"10/07/2014 00:00","706.78","234.98","309.75"
