"Time","Vermentino : Soil Moisture 12"" : [Soil Moisture] (centiBar)","Vermentino : Soil Moisture 36"" : [Soil Moisture] (centiBar)"
"09/27/2014 00:00","105.76","74.60"
"09/28/2014 00:00","119.31","74.23"
"09/29/2014 00:00","127.08","74.54"
"09/30/2014 00:00","135.61","75.92"
"10/01/2014 00:00","146.31","78.68"
"10/02/2014 00:00","154.69","82.45"
"10/03/2014 00:00","160.75","86.70"
"10/04/2014 00:00","117.89","91.63"
"10/05/2014 00:00","68.10","92.80"
"10/06/2014 00:00","82.60","88.31"
"10/07/2014 00:00","95.42","84.56"
